2021-07-05 02:46:01,739 | train | INFO | Epoch 0 train batch 0/4388: 0/561708 mean loss: 1.1916108131408691 score: 0.6328125
2021-07-05 02:46:02,868 | train | INFO | Epoch 0 train batch 1/4388: 128/561708 mean loss: 1.0554568767547607 score: 0.6015625
2021-07-05 02:46:03,996 | train | INFO | Epoch 0 train batch 2/4388: 256/561708 mean loss: 0.9582458734512329 score: 0.640625
2021-07-05 02:46:05,127 | train | INFO | Epoch 0 train batch 3/4388: 384/561708 mean loss: 1.0993300676345825 score: 0.6328125
2021-07-05 02:46:06,255 | train | INFO | Epoch 0 train batch 4/4388: 512/561708 mean loss: 1.2199913263320923 score: 0.53125
2021-07-05 02:46:07,384 | train | INFO | Epoch 0 train batch 5/4388: 640/561708 mean loss: 1.1712400913238525 score: 0.5703125
2021-07-05 02:46:08,511 | train | INFO | Epoch 0 train batch 6/4388: 768/561708 mean loss: 0.9762417078018188 score: 0.6484375
2021-07-05 02:46:09,640 | train | INFO | Epoch 0 train batch 7/4388: 896/561708 mean loss: 1.2666220664978027 score: 0.546875
2021-07-05 02:46:10,770 | train | INFO | Epoch 0 train batch 8/4388: 1024/561708 mean loss: 1.2782143354415894 score: 0.6171875
2021-07-05 02:46:11,900 | train | INFO | Epoch 0 train batch 9/4388: 1152/561708 mean loss: 1.2364438772201538 score: 0.546875
2021-07-05 02:46:13,031 | train | INFO | Epoch 0 train batch 10/4388: 1280/561708 mean loss: 0.994455873966217 score: 0.625
2021-07-05 02:46:14,162 | train | INFO | Epoch 0 train batch 11/4388: 1408/561708 mean loss: 1.2909287214279175 score: 0.5390625
2021-07-05 02:46:15,292 | train | INFO | Epoch 0 train batch 12/4388: 1536/561708 mean loss: 1.0940251350402832 score: 0.6328125
2021-07-05 02:46:16,420 | train | INFO | Epoch 0 train batch 13/4388: 1664/561708 mean loss: 1.01353919506073 score: 0.6640625
2021-07-05 02:46:17,550 | train | INFO | Epoch 0 train batch 14/4388: 1792/561708 mean loss: 1.1029621362686157 score: 0.640625
2021-07-05 02:46:18,679 | train | INFO | Epoch 0 train batch 15/4388: 1920/561708 mean loss: 1.2119656801223755 score: 0.578125
2021-07-05 02:46:19,807 | train | INFO | Epoch 0 train batch 16/4388: 2048/561708 mean loss: 0.9925550222396851 score: 0.6171875
2021-07-05 02:46:20,937 | train | INFO | Epoch 0 train batch 17/4388: 2176/561708 mean loss: 0.9833791851997375 score: 0.609375
2021-07-05 02:46:22,067 | train | INFO | Epoch 0 train batch 18/4388: 2304/561708 mean loss: 1.0620366334915161 score: 0.65625
2021-07-05 02:46:23,196 | train | INFO | Epoch 0 train batch 19/4388: 2432/561708 mean loss: 1.2754424810409546 score: 0.5703125
2021-07-05 02:46:24,326 | train | INFO | Epoch 0 train batch 20/4388: 2560/561708 mean loss: 1.081167221069336 score: 0.59375
2021-07-05 02:46:25,457 | train | INFO | Epoch 0 train batch 21/4388: 2688/561708 mean loss: 1.2131038904190063 score: 0.578125
2021-07-05 02:46:26,590 | train | INFO | Epoch 0 train batch 22/4388: 2816/561708 mean loss: 1.2501332759857178 score: 0.5078125
2021-07-05 02:46:27,719 | train | INFO | Epoch 0 train batch 23/4388: 2944/561708 mean loss: 1.304422378540039 score: 0.5078125
2021-07-05 02:46:28,850 | train | INFO | Epoch 0 train batch 24/4388: 3072/561708 mean loss: 0.9088354706764221 score: 0.625
2021-07-05 02:46:29,981 | train | INFO | Epoch 0 train batch 25/4388: 3200/561708 mean loss: 1.0037811994552612 score: 0.6328125
2021-07-05 02:46:31,110 | train | INFO | Epoch 0 train batch 26/4388: 3328/561708 mean loss: 1.1818625926971436 score: 0.5859375
2021-07-05 02:46:32,241 | train | INFO | Epoch 0 train batch 27/4388: 3456/561708 mean loss: 1.0380197763442993 score: 0.6015625
2021-07-05 02:46:33,370 | train | INFO | Epoch 0 train batch 28/4388: 3584/561708 mean loss: 1.3209764957427979 score: 0.578125
2021-07-05 02:46:34,499 | train | INFO | Epoch 0 train batch 29/4388: 3712/561708 mean loss: 1.2557520866394043 score: 0.5390625
2021-07-05 02:46:35,631 | train | INFO | Epoch 0 train batch 30/4388: 3840/561708 mean loss: 0.9457964897155762 score: 0.6171875
2021-07-05 02:46:36,761 | train | INFO | Epoch 0 train batch 31/4388: 3968/561708 mean loss: 1.0700664520263672 score: 0.6171875
2021-07-05 02:46:37,888 | train | INFO | Epoch 0 train batch 32/4388: 4096/561708 mean loss: 1.1195130348205566 score: 0.578125
2021-07-05 02:46:39,020 | train | INFO | Epoch 0 train batch 33/4388: 4224/561708 mean loss: 1.0716663599014282 score: 0.6328125
2021-07-05 02:46:40,149 | train | INFO | Epoch 0 train batch 34/4388: 4352/561708 mean loss: 0.918261706829071 score: 0.625
2021-07-05 02:46:41,280 | train | INFO | Epoch 0 train batch 35/4388: 4480/561708 mean loss: 1.1374843120574951 score: 0.5859375
2021-07-05 02:46:42,412 | train | INFO | Epoch 0 train batch 36/4388: 4608/561708 mean loss: 1.0168182849884033 score: 0.609375
2021-07-05 02:46:43,543 | train | INFO | Epoch 0 train batch 37/4388: 4736/561708 mean loss: 1.2764734029769897 score: 0.515625
2021-07-05 02:46:44,674 | train | INFO | Epoch 0 train batch 38/4388: 4864/561708 mean loss: 1.1693159341812134 score: 0.59375
